,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,233468,0.0,0.5543391983086958,0.42554826551794844
1,25,0,52493,0.0,0.1246377556531018,0.1171833599932477
2,50,0,70093,0.0,0.1664266513057525,0.15331508210893385
3,75,6,222474,2.6969443620378112e-05,0.5282353847402163,1.436761257744834e-06
4,100,0,664783,0.0,1.5784401942418222,0.7937033699524759
5,125,1,298449,3.3506562260218663e-06,0.7086280749226103,0.15880966249977713
6,150,0,1651651,0.0,3.921629050772508,0.9801912010934284
7,175,0,3042930,0.0,7.225038877745472,0.9992718757692893
8,200,11,7104426,1.548330575897335e-06,16.86852936283968,0.910548234242943
9,225,52,9410915,5.525498848942956e-06,22.344985507441194,2.5095018063581165e-08
10,250,26,6902429,3.7667899227938454e-06,16.38891393356988,0.00994393575529895
11,275,48,11414520,4.205170256830774e-06,27.10228325028944,9.80755071990913e-05
12,300,145,24368097,5.950403102876684e-06,57.8588558401517,0.0
13,325,44,12977674,3.3904380707975866e-06,30.81378776137032,0.009680201557840884
14,350,75,20380879,3.6799197914869127e-06,48.3917287409261,0.0001469482825384727
15,375,51,18437688,2.766073490342173e-06,43.77787613114372,0.12309588556172169
16,400,55,14144096,3.888548267771938e-06,33.583304082106466,0.00025068694328955754
17,425,50,19490932,2.5652954922832834e-06,46.278666109142605,0.26250875630752146
18,450,69,42910701,1.6079905103391342e-06,101.88584127676664,0.9996484764784371
19,475,50,14176310,3.527010907633933e-06,33.65979200736524,0.0031936448450613497
20,500,24,19394682,1.2374526171658808e-06,46.05013308604217,0.9997325088260082
21,525,34,17923241,1.89697834225406e-06,42.55638908558581,0.8945069830464043
22,550,161,19921220,8.081834345486873e-06,47.30032862803964,0.0
23,575,33,20076824,1.6436862722908762e-06,47.66978995299049,0.9839644089398902
24,600,42,22429658,1.8725207490903338e-06,53.256286232195535,0.9337744670692664
25,625,26,19668961,1.3218796864765759e-06,46.70137266051452,0.9992978009995147
26,650,78,23160110,3.3678596517892185e-06,54.99064886897224,0.0013576568658922872
27,675,51,22414398,2.2753232096619324e-06,53.22005336016943,0.5847429434631222
28,700,46,16970520,2.710582822447397e-06,40.294277809728484,0.1636169525590908
29,725,119,63832227,1.864262075644016e-06,151.5612655329154,0.996440241387771
30,750,59,35587169,1.6579009136691936e-06,84.49707340421845,0.9978422103493046
31,775,39,18004561,2.166117796485013e-06,42.74947277845363,0.6835295265893604
32,800,41,30191974,1.35797679211038e-06,71.68688926326944,0.9999414520390896
33,825,23,25937655,8.867416888689436e-07,61.58556581076437,0.9999999842919219
34,850,40,40749532,9.8160636544243e-07,96.75442844558803,0.9999999999472923
35,875,24,16918711,1.4185477841662996e-06,40.171264122520064,0.9958363496257124
36,900,75,34514985,2.1729692190218247e-06,81.95131287601154,0.7591653351342109
37,925,29,12194984,2.3780269002402957e-06,28.955392833053665,0.4475340586035118
38,950,15,17016893,8.814770122842048e-07,40.404384426666006,0.9999957822124046
39,975,12,11742796,1.0219031310771301e-06,27.88173163149794,0.9993946117563839
