,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,233468,0.0,0.11227547245067299,0.1062019931430751
1,25,0,52493,0.0,0.025244043617768504,0.024928077090000333
2,50,0,70093,0.0,0.033707937235445636,0.03314615458810288
3,75,0,222474,0.0,0.10698842435790352,0.10146392593789
4,100,1,664783,1.5042502591071071e-06,0.3196961699341055,0.041412693568447456
5,125,0,298449,0.0,0.14352503331262056,0.1337008864207312
6,150,0,1651651,0.0,0.7942839975869348,0.5480953160421816
7,175,0,3042930,0.0,1.4633543071612656,0.7685414120403513
8,200,4,7104426,5.630293003263036e-07,3.4165401067420156,0.2588963527850848
9,225,3,9410915,3.18778779746709e-07,4.525737693466022,0.6620278088907181
10,250,1,6902429,1.4487653549207097e-07,3.3193991340664515,0.8437476313031544
11,275,16,11414520,1.4017234189435912e-06,5.489277441866362,6.176381492473126e-05
12,300,9,24368097,3.69335365006139e-07,11.718692083706662,0.7321683348926746
13,325,6,12977674,4.623324641996709e-07,6.241002962550821,0.43234672622036474
14,350,26,20380879,1.275705527715463e-06,9.801226800610788,4.5092378906375075e-06
15,375,3,18437688,1.6271020531424547e-07,8.866740328859217,0.9766841705563761
16,400,20,14144096,1.4140175519170683e-06,6.801938855807537,9.551332732948836e-06
17,425,7,19490932,3.591413689196597e-07,9.373248577123805,0.7179720439146027
18,450,39,42910701,9.088642014960324e-07,20.635886836588163,0.00010135303475145019
19,475,13,14176310,9.170228359848226e-07,6.817430666546165,0.010416975283672691
20,500,2,19394682,1.0312105143049007e-07,9.326961658902134,0.995210165887176
21,525,5,17923241,2.789674032726559e-07,8.619341199317562,0.8591626814692463
22,550,6,19921220,3.011863731237344e-07,9.580175387178524,0.841087790454812
23,575,4,20076824,1.9923469967162136e-07,9.65500582481972,0.9635027751989812
24,600,11,22429658,4.904221009522303e-07,10.786490863231863,0.3952626969354929
25,625,3,19668961,1.525245792088357e-07,9.458863265581842,0.9846941068093739
26,650,23,23160110,9.93086820399385e-07,11.13776745532388,0.0005498004075399354
27,675,4,22414398,1.7845672232642608e-07,10.779152282742901,0.9824801266407733
28,700,18,16970520,1.0606628435663727e-06,8.161174767992165,0.000818694735564951
29,725,38,63832227,5.953105787770807e-07,30.697112426557833,0.08329503211776224
30,750,5,35587169,1.4050007742959267e-07,17.11397798694872,0.9993791010314591
31,775,1,18004561,5.554148196115418e-08,8.658448235055602,0.9983227760079189
32,800,28,30191974,9.273987848558693e-07,14.519412275208744,0.0005260907931567971
33,825,3,25937655,1.156619594176883e-07,12.473497307500644,0.998412965754764
34,850,10,40749532,2.454015913606075e-07,19.596574080575568,0.9865903002153028
35,875,4,16918711,2.3642463069438327e-07,8.136259662058174,0.9079075427728057
36,900,12,34514985,3.47675075043492e-07,16.5983614349842,0.8435331291715826
37,925,2,12194984,1.640018551889859e-07,5.864604957117883,0.9317102799266883
38,950,3,17016893,1.7629540245684098e-07,8.183475684965606,0.9625808834571399
39,975,5,11742796,4.2579297128213755e-07,5.6471463703457125,0.49611967196704465
