Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
-1,حدثنا,عن,في,بن,قال,من,عليه,نوح,علي,الله,18670,4886,2348
0,الدوله,الامير,خراسان,بخاري,منصور,وثلاثماه,سبكتكين,اسد,سامان,وفيها,735,518,123
1,الحمام,البحر,الهوي,اذا,فوق,بها,قد,لو,قارون,حمام,710,491,313
2,هارون,النعمان,ابو,بن,بنت,عبد,نصر,هاشم,نوفل,محمد,390,311,193
3,سوره,انظر,الايه,عربي,الكتب,ايه,الكريم,ديوانه,القران,الصفحه,365,332,164
4,بيتي,تخلف,نجا,ركبها,عنها,غرق,مثل,فيكم,سفينه,ذر,351,260,170
5,طريق,رواه,اخرجه,ورواه,حديث,رقم,الحديث,هريره,الدارقطني,واخرجه,327,300,120
6,السفينه,الجودي,ابليس,الحمامه,الغراب,الحمار,ادخل,الما,فاوحي,الشيطان,309,247,124
7,ثنا,ثني,كريب,مجاهد,نجيح,حدثنا,حدثني,ورقا,الضحاك,قال,288,230,39
8,وابي,الغافقي,القراات,بلنسيه,البلنسي,وتوفي,وابا,سعاده,واجاز,واجب,271,226,48
9,روي,يروي,عنه,سمع,قيس,سمعت,الحداني,ابي,الطاحي,الرحمن,245,224,32
10,نباتا,انبتكم,مصدر,المصدر,منصوب,ويجوز,يكون,حذف,كقوله,معطوف,245,232,81
11,وعبد,وابي,ومحمد,وابو,ويحيي,وسالم,وعلي,وسعيد,وعثمان,وروح,239,232,32
12,الصالح,ادريس,اوتيه,نبي,مرحبا,ادم,نبيا,جد,بعثه,خاصه,226,205,122
13,وعن,ثنا,كلاهما,حب,حديث,عه,به,عن,حم,الرزاق,219,201,19
14,الحمامي,البقال,انا,السمرقندي,اميه,اخبرنا,الفضل,القاسم,حبيب,انبانا,205,202,5
15,ايوب,صفوان,السلام,حمدويه,عن,جعفر,واله,ابي,شعيب,امير,185,165,48
16,عبدالله,ايوب,صفوان,الرجل,باس,غسل,عن,المراه,سالته,قلت,177,170,25
17,وعنه,البصري,وجماعه,وثقه,حبان,اياس,وابن,ثقه,يزيد,النساي,170,160,24
18,حدثنا,حدثني,ثنا,قال,نا,سمعت,عبدالله,رايت,عون,يقول,165,145,92
19,انوش,ناحور,قينان,شيث,متوشلخ,ازر,اخنوخ,تارح,شالخ,لمك,165,117,111
20,اهلي,وعدك,ابني,الحاكمين,احكم,اهلك,عمل,ليس,وانت,الحق,152,134,98
21,مثاكيل,صيابه,النوب,ومستشحجات,الرمه,كانها,بالفراق,فنح,اذا,ويقال,143,140,38
22,النسبه,اخرها,وسكون,المعجمه,معجمه,بفتح,وفتح,فهو,السني,روي,139,136,18
23,ذريه,هدينا,ذريته,وزكريا,ونوحا,ويعقوب,وممن,وسليمان,وهارون,ويحيي,123,115,70
24,وراثه,ذلك,الانبيا,هذا,السلام,عليه,فان,تورث,معجزه,اختصت,117,113,93
25,والي,فلينظر,ينظر,حلمه,علمه,اراد,طالب,فهمه,زهده,بطشه,110,94,69
26,بكتابه,بطه,كتاب,اخبرنا,كوفي,حدثنا,حمزه,جعفر,ثقه,احمد,103,87,9
27,الصرف,الوسط,العجمه,الثلاثي,التانيث,نحو,ساكن,السببين,هند,وينث,102,91,64
28,ورسلا,اوحينا,والاسباط,واوحينا,زبورا,واتينا,نقصصهم,والنبيين,قصصناهم,ويونس,99,93,75
29,البكا,الميت,الصوت,ندب,يعذب,مباح,اهله,بالبكا,حرام,بدونه,98,96,65
30,مسجد,حبف,كي,ها,غو,مجموحه,الرب,سيرالوسياني,نيب,النصوص,97,86,56
31,وميكال,وجبريل,ورسله,ومنك,وملاكته,ميثاقهم,اخذنا,واذ,النبيين,العام,97,96,63
32,حدثنا,احمد,ثنا,محمد,انبانا,رسول,املا,اخبرنا,قال,الحافظ,95,92,47
33,الكلاع,فقال,نعم,وذمه,ذو,عيالي,ترضي,العاص,سيما,عندنا,94,83,54
34,بناها,مصر,مدينه,بيصر,قبطيم,مصرايم,حام,سميت,اشمون,السوس,91,89,47
35,جش,ثقه,جخ,كتاب,القمي,كوفي,اصحابنا,كش,النجاشي,مولي,90,77,26
36,وسكون,مدينه,مهمله,سميت,نهاوند,المهمله,نون,وهي,بلاد,اوله,90,87,35
37,يرو,تفرد,الحديث,نا,حرب,حدثنا,لم,الاسناد,هذا,الا,88,63,5
38,بشرع,متعبدا,شرع,بشريعه,وقيل,يتعبد,البعثه,فقيل,ثبت,اختلفوا,88,77,71
39,مكيه,وعشرون,يوعدون,ذله,بسم,الرحيم,ترهقهم,سوره,والخمسون,خاشعه,86,83,64
40,بفضال,جبريل,فضال,عمر,حسنات,حدثتك,لبث,نفدت,اتاني,حسنه,83,68,58
41,والكساي,والباقون,الواو,الباقون,نافع,وحمزه,قرا,بضم,عمرو,اللام,82,73,27
42,سنه,واربعون,الف,وبين,الاف,وماتا,الفا,خمسماه,وستون,واثنتان,82,66,54
43,فبعث,واحده,فاختلفوا,اختلفوا,امه,كفارا,الناس,النبيين,كانوا,مبعث,80,67,51
44,وكيع,رايت,سمعت,عيينه,ورايت,حنبل,الثوري,عيناي,ومعمرا,الخيف,79,75,36
45,معبد,المصري,واخرجه,الجماعه,صحاح,طريقين,شيخ,عن,الكوفي,طرق,77,77,12
46,افتراه,انهم,يقولون,حسابهم,يعملون,ادعوهم,علمي,اجرامي,افتري,افتريته,74,70,42
47,الشيخ,يخلف,زنغيل,خزر,ومنهم,وذكر,العلم,زكريا,النكار,وارجلان,74,67,18
48,اوحينا,اليك,والنبيين,الوحي,تكليما,تكليمه,حجاب,بعده,النسا,التكليم,73,71,51
49,ياجوج,وماجوج,الترك,يافث,السد,القرنين,قبيلتان,بالتراب,وهما,لكثرتهم,71,71,56
50,الجاريه,لنجعلها,تذكره,حملناكم,وتعيها,طغي,واعيه,اذن,اباكم,الما,70,65,54
51,صلي,وسلم,رسول,سالم,النبي,حدثنا,نضره,صيبا,اخبرنا,هامه,68,64,45
52,فاتقوا,واطيعون,اجري,اخوهم,اجر,تتقون,امين,اسالكم,اسلكم,المرسلين,68,67,57
53,السفن,ابنه,دابه,وعكرمه,وخلقنا,والضحاك,عباس,يركبون,جبير,ونادي,67,66,33
54,بالقدر,اقول,ولا,عذرا,القدر,يحتج,اعظم,عرف,لكان,خزان,67,63,32
55,النوحي,سمع,واربعماه,النسفي,نيسابور,البحيري,محمد,ولادته,النوقدي,وابي,67,65,22
56,بسم,اقلعي,تجري,ابلعي,اركبوا,الموج,ماك,وغيض,سما,اجراها,67,62,52
