Topic,0179MalikIbnAnas.Muwatta,0150AbuHanifa.Musnad,0204Shafici.Musnad,0256Bukhari.Sahih,0241IbnHanbal.Musnad,0261Muslim.Sahih
-1,37,6,23,228,741,184
4,13,0,0,0,0,0
13,1,0,0,0,0,1
15,1,0,0,0,0,0
24,0,0,0,3,0,0
36,4,0,0,0,0,0
43,1,0,0,1,0,0
49,0,0,0,1,6,1
59,1,0,0,0,0,0
68,0,0,0,5,4,2
70,0,0,0,0,12,0
75,0,0,0,4,1,1
80,0,0,0,0,1,0
85,0,0,0,2,3,0
87,0,0,2,0,2,0
88,0,0,0,4,2,1
99,0,0,0,1,4,1
107,0,0,0,0,3,0
110,0,0,0,0,1,0
111,0,0,0,2,2,1
116,0,0,0,0,1,0
121,0,0,0,7,2,0
122,0,0,0,0,2,2
124,0,0,0,0,1,0
127,0,0,0,3,3,2
128,0,0,0,0,0,1
131,0,0,0,0,3,0
134,0,0,0,3,1,1
137,0,0,0,3,2,0
139,0,0,1,2,2,2
140,0,0,0,6,2,3
141,0,0,3,0,1,0
149,0,0,0,0,1,1
155,0,0,0,0,1,0
161,0,0,0,0,3,1
167,0,0,0,0,2,0
172,0,0,0,1,0,1
178,0,0,0,0,1,0
179,0,0,0,1,1,1
184,0,0,0,3,0,1
185,0,0,0,0,2,1
186,0,0,0,1,0,1
190,0,0,0,4,2,1
196,0,0,0,6,0,1
199,0,0,0,1,3,2
201,1,0,0,0,1,0
202,0,0,0,0,1,1
205,0,0,0,1,1,0
207,0,0,0,3,0,1
208,0,0,0,0,2,1
211,0,0,0,0,2,0
212,0,0,0,0,1,0
219,0,0,0,0,1,1
221,0,0,0,0,0,1
223,0,0,0,1,3,0
224,0,0,0,2,1,1
231,0,0,1,3,1,1
235,0,0,0,1,1,2
243,0,0,0,2,1,1
244,0,0,0,0,1,0
247,0,0,0,1,0,1
251,0,0,0,0,0,2
252,0,0,0,0,2,0
253,0,0,0,3,1,1
255,0,0,0,0,1,0
261,0,0,0,0,1,0
264,0,0,0,1,0,0
265,0,0,0,1,0,1
269,0,0,0,1,2,2
271,0,0,0,0,2,0
273,1,0,1,0,0,0
289,0,0,0,0,1,0
296,1,0,0,0,0,0
297,0,0,0,2,0,1
304,0,0,0,0,3,1
305,0,0,0,0,1,1
306,1,0,0,0,0,0
307,0,0,0,3,1,0
316,0,0,0,0,2,1
323,0,0,1,0,1,0
325,0,0,0,0,1,0
326,0,0,0,0,1,0
330,0,0,0,3,2,1
334,0,0,0,0,2,0
335,0,0,0,1,0,0
336,0,0,0,0,1,0
342,0,0,0,0,2,1
345,0,0,0,1,5,1
346,0,0,0,1,1,1
347,0,0,2,0,2,0
348,0,0,0,0,1,0
353,0,0,0,1,0,0
359,0,0,0,0,1,1
362,0,0,0,0,0,1
364,0,0,0,0,1,0
367,1,0,0,0,0,0
373,0,0,0,0,4,1
375,0,0,0,0,3,1
379,0,1,0,0,1,0
382,0,0,0,6,0,0
383,0,0,0,0,1,0
385,0,0,0,0,5,1
387,0,0,0,1,0,0
389,0,0,0,3,0,0
392,0,0,0,2,1,1
402,0,0,0,2,0,0
406,0,0,0,1,0,0
407,0,0,0,2,1,1
408,0,0,0,0,6,1
416,0,0,0,0,1,0
422,0,0,0,0,1,1
423,0,0,0,2,1,0
424,0,0,0,1,0,1
425,0,0,0,1,1,1
429,0,0,0,0,1,2
437,0,0,0,1,1,1
439,0,0,0,0,0,1
444,0,0,0,3,0,0
445,0,0,0,2,0,0
446,0,0,1,0,3,1
449,0,1,0,0,0,0
451,0,0,0,0,2,0
455,0,0,0,0,1,1
458,0,0,0,0,1,1
461,0,0,0,1,0,1
467,0,0,0,3,0,0
469,0,0,0,1,0,0
470,0,0,0,0,0,1
471,0,0,0,1,0,1
478,0,0,0,0,0,1
482,0,0,0,1,0,0
487,0,0,0,0,0,1
492,0,0,0,1,1,1
493,0,0,0,0,3,0
495,0,0,0,0,2,0
497,0,0,0,0,1,0
499,0,0,0,0,0,1
500,0,0,0,0,2,1
501,0,0,0,1,1,0
510,0,0,0,2,0,0
511,0,0,0,2,0,1
517,0,0,0,2,0,0
518,0,0,0,1,1,1
525,0,0,0,0,1,0
532,0,0,0,0,4,0
536,0,0,0,1,0,0
537,0,0,0,4,0,0
538,0,0,0,1,0,0
541,0,0,0,1,1,0
546,0,0,0,0,1,0
548,0,0,0,0,1,0
550,0,0,0,0,2,0
552,0,0,0,1,0,0
554,0,0,0,0,3,1
560,0,0,0,1,0,0
561,0,0,0,0,1,1
562,0,0,0,0,5,0
565,0,0,0,1,1,1
569,0,0,0,0,2,0
571,0,0,0,0,0,1
576,0,0,0,1,1,2
580,0,0,0,0,2,2
582,0,0,0,0,1,0
